Sistematic name	RA (mol/cell) [Nagalakshmi et al. 2008; Miura et al. 2008]	RS (min) [Wang et al. 2002]	TR indirect (mol/min) w/o dilution correction	TR (mol/min) w/o dilution correction	TR indirect (mol/min) dilution corrected	TR (mol/min) dilution corrected	RNA pol II density (per kb)	RNA pol II  presence (per gene)
YJL164C	2.2736							
YJL165C	6.0842	15	0.2811		0.3185			
YJL166W	7.6212	22	0.2401		0.2869			
YJL167W	10.7914	26	0.2877		0.3539			
YJL168C		24		0.1078		0.1265	0.0843	0.1856
YJL169W		28		0.0740		0.0869	0.0579	0.0213
YJL170C	1.2809	74	0.0120	0.0549	0.0199	0.0644	0.0430	0.0270
YJL171C	5.4758			0.2342		0.2747	0.1831	0.2179
YJL172W	1.3129	30	0.0303	0.0839	0.0384	0.0985	0.0657	0.1136
YJL173C	4.7713	14	0.2362		0.2655			
YJL174W	7.6853	27	0.1973		0.2444			
YJL175W		29		0.1057		0.1240	0.0827	0.0423
YJL176C	1.4410	15	0.0666	0.1030	0.0754	0.1208	0.0805	0.1995
YJL177W	26.4502	25	0.7334		0.8956			
YJL178C	0.7365	16	0.0319	0.1412	0.0364	0.1657	0.1104	0.0900
YJL179W	3.2983	12	0.1905		0.2107			
YJL180C		15						
YJL181W		19						
YJL182C		24						
YJL183W		18		0.0754		0.0885	0.0590	0.0748
YJL184W	3.0741	17	0.1253	0.2168	0.1442	0.2543	0.1695	0.0629
YJL185C	0.4483	35	0.0089		0.0116			
YJL186W	2.5618	13	0.1366	0.1707	0.1523	0.2003	0.1335	0.2350
YJL187C	0.1921	14	0.0095	0.0748	0.0107	0.0877	0.0585	0.1438
YJL188C		26		0.5107		0.5992	0.3994	0.1230
YJL189W		22		1.1279		1.3232	0.8821	0.4772
YJL190C	80.1192	18	3.0852	0.3882	3.5767	0.4555	0.3036	0.1190
YJL191W	3.3943	27	0.0871		0.1080			
YJL192C	2.9460	15	0.1361	0.0620	0.1542	0.0728	0.0485	0.0342
YJL193W	0.4483	28	0.0111		0.0138			
YJL194W	0.1281			0.0905		0.1062	0.0708	0.1091
YJL195C				0.0664		0.0779	0.0519	0.0364
YJL196C	8.9342	19	0.3259	0.1365	0.3807	0.1601	0.1067	0.0995
YJL197C-A								
YJL197W	0.8006	16	0.0347	0.0807	0.0396	0.0946	0.0631	0.2375
YJL198W	2.3696	9	0.1825	0.0988	0.1970	0.1159	0.0772	0.2043
YJL199C	1.1848	41	0.0200		0.0273			
YJL200C	4.4831	14	0.2220	0.0993	0.2495	0.1165	0.0777	0.1840
YJL201W	2.7219	15	0.1258		0.1425			
YJL202C		19						
YJL203W				0.1020		0.1197	0.0798	0.0672
YJL204C	1.0247	28	0.0254	0.0288	0.0317	0.0337	0.0225	0.0567
YJL205C	1.8573							
YJL206C	0.3202	21	0.0106	0.0531	0.0125	0.0623	0.0415	0.0945
YJL207C	0.8646	80	0.0075	0.0585	0.0128	0.0687	0.0458	0.2767
YJL208C	0.9286	14	0.0460	0.0967	0.0517	0.1134	0.0756	0.0748
YJL209W	0.3843			0.1003		0.1177	0.0785	0.1541
YJL210W	0.4483	16	0.0194	0.0883	0.0222	0.1036	0.0691	0.0563
YJL211C	0.0640	29	0.0015	0.1210	0.0019	0.1420	0.0946	0.0419
YJL212C	2.3376	8	0.2025	0.1282	0.2169	0.1504	0.1002	0.2405
YJL213W	0.9286	59	0.0109	0.2084	0.0166	0.2445	0.1630	0.1622
YJL214W	0.1921	71	0.0019	0.0333	0.0031	0.0391	0.0260	0.0445
YJL215C	0.0640	54	0.0008	0.0707	0.0012	0.0829	0.0553	0.0198
YJL216C	0.5124	81	0.0044	0.0502	0.0075	0.0589	0.0392	0.0685
YJL217W	4.4511	61	0.0506	0.1790	0.0779	0.2099	0.1400	0.0834
YJL218W	1.2489	15	0.0577		0.0654			
YJL219W	0.0640							
YJL220W				0.0118		0.0139	0.0093	0.0042
YJL221C		49		0.0201		0.0235	0.0157	0.0278
YJL222W		18		0.0403		0.0472	0.0315	0.1464
YJL222W-A								
YJL222W-B								
YJL223C								
YJL225C		5						
YJL225W-A								
YJR001W	2.4017	9	0.1850	0.0893	0.1997	0.1047	0.0698	0.1262
YJR002W	1.9213	11	0.1211	0.1830	0.1329	0.2147	0.1432	0.2550
YJR003C	3.1382	9	0.2417	0.0943	0.2609	0.1107	0.0738	0.1150
YJR004C	0.1921	23	0.0058	0.0734	0.0070	0.0861	0.0574	0.1120
YJR005C-A	0.0640							
YJR005W	0.5764	6	0.0666	0.0963	0.0701	0.1129	0.0753	0.1583
YJR006W	0.7365	9	0.0567	0.0614	0.0612	0.0721	0.0480	0.0703
YJR007W	8.6780	9	0.6683	0.1554	0.7216	0.1823	0.1215	0.1111
YJR008W	2.9460	55	0.0371	0.0809	0.0552	0.0949	0.0632	0.0643
YJR009C		49		0.5138		0.6028	0.4019	0.4011
YJR010C-A	0.2562	19	0.0093		0.0109			
YJR010W	2.2736	20	0.0788	0.0329	0.0927	0.0385	0.0257	0.0394
YJR011C	1.0887	29	0.0260	0.0437	0.0327	0.0513	0.0342	0.0268
YJR012C	2.2415			0.0804		0.0943	0.0629	0.0392
YJR013W	1.8573	18	0.0715	0.0844	0.0829	0.0990	0.0660	0.0799
YJR014W	4.2589	26	0.1135	0.2349	0.1397	0.2756	0.1837	0.1095
YJR015W	0.7685	17	0.0313	0.0722	0.0360	0.0847	0.0565	0.0865
YJR016C	8.2617	26	0.2203	0.3219	0.2709	0.3776	0.2517	0.4423
YJR017C	1.8893	16	0.0818	0.3273	0.0934	0.3840	0.2560	0.1311
YJR018W		30		0.1275		0.1495	0.0997	0.0361
YJR019C		22		0.0946		0.1109	0.0739	0.0776
YJR020W				0.0782		0.0917	0.0611	0.0203
YJR021C	0.3202	33	0.0067	0.1361	0.0087	0.1597	0.1064	0.1090
YJR022W		46		0.1203		0.1411	0.0941	0.0310
YJR023C				0.0570		0.0669	0.0446	0.0179
YJR024C		23		0.1280		0.1502	0.1001	0.0735
YJR025C	5.5718	28	0.1379	0.0480	0.1721	0.0563	0.0376	0.0200
YJR030C		17		0.0909		0.1067	0.0711	0.1591
YJR031C	0.4483	20	0.0155	0.0518	0.0183	0.0607	0.0405	0.1711
YJR032W	2.4017	15	0.1110	0.0944	0.1257	0.1107	0.0738	0.0872
YJR033C	0.9607	32	0.0208	0.0602	0.0267	0.0707	0.0471	0.1919
YJR034W	0.2242							
YJR035W	0.5764	28	0.0143		0.0178			
YJR036C	0.8966	32	0.0194	0.0143	0.0249	0.0168	0.0112	0.0300
YJR037W		52						
YJR038C	0.0640	34	0.0013	0.0301	0.0017	0.0353	0.0235	0.0085
YJR039W	0.7685			0.0360		0.0422	0.0281	0.0946
YJR040W	4.3230	14	0.2140	0.0682	0.2406	0.0801	0.0534	0.1248
YJR041C	0.8966	20	0.0311	0.0566	0.0366	0.0664	0.0443	0.1561
YJR042W	1.4730	17	0.0601	0.1328	0.0691	0.1558	0.1039	0.2321
YJR043C	0.8966	21	0.0296	0.0647	0.0351	0.0759	0.0506	0.0532
YJR044C	6.0522	25	0.1678		0.2049			
YJR045C	21.1025	48	0.3047	0.6838	0.4342	0.8022	0.5348	1.0503
YJR046W	5.5718			0.1273		0.1494	0.0996	0.1807
YJR047C	2.3056	17	0.0940	0.2016	0.1081	0.2366	0.1577	0.0746
YJR048W	1.2168	23	0.0367	0.1404	0.0441	0.1647	0.1098	0.0361
YJR049C	3.0421	18	0.1171	0.1052	0.1358	0.1234	0.0823	0.1310
YJR050W	1.7292			0.1940		0.2276	0.1517	0.1073
YJR051W	2.3696	13	0.1263	0.0888	0.1409	0.1042	0.0694	0.1045
YJR052W	0.7045			0.0895		0.1050	0.0700	0.1188
YJR053W	0.0640	15	0.0030	0.0690	0.0034	0.0809	0.0540	0.0930
YJR054W	1.2809			0.0929		0.1090	0.0727	0.1085
YJR055W	0.8326	22	0.0262	0.1900	0.0313	0.2229	0.1486	0.0734
YJR056C	0.4163			0.1068		0.1253	0.0835	0.0593
YJR057W				0.1032		0.1210	0.0807	0.0524
YJR058C		15		0.0621		0.0729	0.0486	0.0215
YJR059W	1.5691	37	0.0294		0.0390			
YJR060W	1.2489	11	0.0787	0.1326	0.0864	0.1556	0.1037	0.1094
YJR061W	0.1921	64	0.0021	0.0388	0.0033	0.0455	0.0303	0.0851
YJR062C	1.5691	16	0.0680	0.0638	0.0776	0.0748	0.0499	0.0685
YJR063W	2.1455	29	0.0513	0.0927	0.0644	0.1088	0.0725	0.0273
YJR064W	8.4858	10	0.5882	0.1172	0.6402	0.1375	0.0916	0.1547
YJR065C	6.5325	22	0.2058	0.1263	0.2459	0.1482	0.0988	0.1333
YJR066W	0.8966	50	0.0124	0.0561	0.0179	0.0658	0.0438	0.3250
YJR067C	2.1455							
YJR068W	10.8555	8	0.9406	0.0805	1.0071	0.0944	0.0629	0.0668
YJR069C	5.4437							
YJR070C	10.9515	7	1.0844	0.3402	1.1516	0.3991	0.2661	0.2600
YJR071W	0.1281	11	0.0081	0.0993	0.0089	0.1164	0.0776	0.0286
YJR072C	5.0595	14	0.2505	0.2908	0.2815	0.3411	0.2274	0.2631
YJR073C	9.0302	34	0.1841	0.1200	0.2395	0.1408	0.0939	0.0582
YJR074W	0.7685	18	0.0296	0.0572	0.0343	0.0671	0.0447	0.0293
YJR075W	4.0988	13	0.2185	0.0956	0.2437	0.1121	0.0747	0.0889
YJR076C	3.7786	6	0.4365	0.1211	0.4597	0.1421	0.0947	0.1181
YJR077C	4.1308	13	0.2203	0.1625	0.2456	0.1906	0.1271	0.1188
YJR078W								
YJR079W		13						
YJR080C		12		0.0496		0.0582	0.0388	0.0459
YJR082C	3.5865	16	0.1554	0.1234	0.1774	0.1447	0.0965	0.0329
YJR083C	0.8966	22	0.0282	0.0850	0.0337	0.0997	0.0664	0.0617
YJR084W	1.0887			0.1120		0.1314	0.0876	0.1114
YJR085C	10.3431	22	0.3259	0.1615	0.3893	0.1895	0.1263	0.0400
YJR086W		18		0.3080		0.3614	0.2409	0.0800
YJR087W		16						
YJR088C		14		0.1480		0.1736	0.1157	0.1016
YJR089W	0.4483	26	0.0120	0.0528	0.0147	0.0620	0.0413	0.1183
YJR090C	1.1208	28	0.0277	0.0952	0.0346	0.1117	0.0745	0.2572
YJR091C	1.0567	65	0.0113		0.0178			
YJR092W	0.9607	22	0.0303	0.2030	0.0362	0.2382	0.1588	0.6896
YJR093C	1.7612	12	0.1017	0.0912	0.1125	0.1070	0.0713	0.0701
YJR094C	0.5124			0.0327		0.0384	0.0256	0.0277
YJR094W-A	130.7140	29	3.1243		3.9261			
YJR095W	0.0640	21	0.0021	0.0096	0.0025	0.0113	0.0075	0.0073
YJR096W	3.1382	60	0.0363		0.0555			
YJR097W	0.4483	20	0.0155	0.0460	0.0183	0.0539	0.0360	0.0186
YJR098C	0.0961	20	0.0033	0.0443	0.0039	0.0520	0.0346	0.0681
YJR099W		11		0.0418		0.0490	0.0327	0.0232
YJR100C		25		0.0652		0.0765	0.0510	0.0501
YJR101W	4.5792			0.1106		0.1298	0.0865	0.0692
YJR102C	1.1208	32	0.0243	0.0751	0.0312	0.0881	0.0588	0.0357
YJR103W	1.6011	42	0.0264	0.1511	0.0362	0.1773	0.1182	0.2002
YJR104C	55.7504	38	1.0169	1.4489	1.3589	1.6998	1.1332	0.5258
YJR105W	12.4886	34	0.2546	0.2066	0.3312	0.2423	0.1616	0.1651
YJR106W	0.5124	26	0.0137	0.0538	0.0168	0.0631	0.0421	0.0916
YJR107W	2.4337	30	0.0562	0.1064	0.0712	0.1249	0.0832	0.0821
YJR108W	0.4483	25	0.0124	0.0643	0.0152	0.0754	0.0503	0.0186
YJR109C	2.6899	40	0.0466	0.0794	0.0631	0.0932	0.0621	0.2084
YJR110W	1.7292	23	0.0521	0.0527	0.0627	0.0618	0.0412	0.0851
YJR111C	0.5124	28	0.0127	0.1024	0.0158	0.1201	0.0801	0.0681
YJR112W	1.5050	21	0.0497	0.1404	0.0589	0.1647	0.1098	0.0664
YJR112W-A								
YJR113C		18		0.2620		0.3073	0.2049	0.1522
YJR114W				0.2747		0.3223	0.2149	0.0842
YJR115W	1.2809	37	0.0240	0.2306	0.0319	0.2705	0.1803	0.0918
YJR116W	0.6404	18	0.0247	0.0532	0.0286	0.0624	0.0416	0.0349
YJR117W	7.6853	25	0.2131	0.0901	0.2602	0.1057	0.0705	0.0959
YJR118C	1.9533	20	0.0677	0.0433	0.0797	0.0508	0.0339	0.0207
YJR119C	0.4803	39	0.0085	0.0249	0.0115	0.0292	0.0195	0.0426
YJR120W	11.2077	45	0.1726		0.2414			
YJR121W	7.9735	21	0.2632	0.1638	0.3121	0.1922	0.1281	0.1967
YJR122W	0.3202	23	0.0097	0.0907	0.0116	0.1064	0.0709	0.1059
YJR123W	61.9627	21	2.0452	0.6511	2.4253	0.7638	0.5092	0.3447
YJR124C	0.6084	18	0.0234	0.0723	0.0272	0.0848	0.0565	0.0761
YJR125C	8.5819	28	0.2124	0.0929	0.2651	0.1089	0.0726	0.0890
YJR126C	1.5050	16	0.0652	0.0962	0.0744	0.1129	0.0752	0.1832
YJR127C	2.8179	30	0.0651	0.1232	0.0824	0.1445	0.0964	0.3991
YJR128W	0.1281	15	0.0059		0.0067			
YJR129C	1.1528	14	0.0571	0.2821	0.0641	0.3310	0.2207	0.2249
YJR130C	1.3129	17	0.0535	0.0845	0.0616	0.0991	0.0661	0.1268
YJR131W	0.0961	20	0.0033	0.0537	0.0039	0.0629	0.0420	0.0692
YJR132W	0.7045	15	0.0326	0.1495	0.0369	0.1754	0.1170	0.3679
YJR133W	2.3696	19	0.0864	0.0908	0.1010	0.1065	0.0710	0.0447
YJR134C	1.4730	19	0.0537	0.0837	0.0628	0.0982	0.0655	0.1391
YJR135C	0.4483	18	0.0173	0.0949	0.0200	0.1114	0.0742	0.0534
YJR135W-A	4.1629							
YJR136C	0.8966			0.0713		0.0836	0.0558	0.0705
YJR137C	3.7146	18	0.1430	0.1061	0.1658	0.1245	0.0830	0.3592
YJR138W	0.3522							
YJR139C	25.6497	41	0.4336	0.1439	0.5910	0.1688	0.1125	0.1214
YJR140C	0.2882	15	0.0133		0.0151			
YJR140W-A								
YJR141W	0.9286	27	0.0238	0.0773	0.0295	0.0906	0.0604	0.0630
YJR142W	1.3129	22	0.0414	0.0994	0.0494	0.1166	0.0778	0.0799
YJR143C	4.2910	15	0.1983	0.0777	0.2246	0.0912	0.0608	0.1390
YJR144W	9.1583	17	0.3734	0.2209	0.4296	0.2592	0.1728	0.1398
YJR145C		30		0.4222		0.4954	0.3302	0.3438
YJR146W		22		0.1186		0.1391	0.0927	0.0327
YJR147W	0.7365	8	0.0638	0.4484	0.0683	0.5260	0.3507	0.3773
YJR148W	11.2077	26	0.2988	0.1460	0.3675	0.1713	0.1142	0.1291
YJR149W	0.1281	88	0.0010	0.0252	0.0018	0.0296	0.0197	0.0239
YJR150C	0.0640	29	0.0015		0.0019			
YJR151C	0.5444	29	0.0130	0.0930	0.0164	0.1091	0.0727	0.2534
YJR151W-A	0.0640							
YJR152W	0.6725	34	0.0137	0.0538	0.0178	0.0631	0.0420	0.0686
YJR153W	0.1281	23	0.0039	0.0527	0.0046	0.0618	0.0412	0.0447
YJR154W	0.0640			0.0585		0.0687	0.0458	0.0476
YJR155W	0.5124	14	0.0254	0.0532	0.0285	0.0625	0.0416	0.0361
YJR156C		15						
YJR157W		18						
YJR158W				0.0118		0.0139	0.0092	0.0157
YJR159W		18		0.0123		0.0144	0.0096	0.0103
YJR160C				0.0289		0.0339	0.0226	0.0409
YJR161C		21						
YJR162C								
YKL001C	10.8875			0.1302		0.1528	0.1018	0.0619
YKL002W	2.9460	17	0.1201	0.1309	0.1382	0.1536	0.1024	0.0784
YKL003C	4.1949			0.1330		0.1560	0.1040	0.0411
YKL004W	4.0028	7	0.3964	0.0620	0.4209	0.0728	0.0485	0.0584
YKL005C	0.5124	22	0.0161	0.0491	0.0193	0.0576	0.0384	0.0685
YKL006C-A								
YKL006W	48.7055	19	1.7768	1.0191	2.0756	1.1956	0.7970	0.6488
YKL007W		12		0.1025		0.1202	0.0801	0.0646
YKL008C	3.0741	22	0.0969	0.1644	0.1157	0.1929	0.1286	0.1615
YKL009W	6.9488	7	0.6881	0.1813	0.7307	0.2127	0.1418	0.1007
YKL010C	1.0247	58	0.0122	0.0814	0.0185	0.0955	0.0637	0.2835
YKL011C				0.0800		0.0939	0.0626	0.0664
YKL012W		13		0.0734		0.0861	0.0574	0.1005
YKL013C	3.9707	14	0.1966	0.1490	0.2209	0.1748	0.1165	0.0600
YKL014C	0.8966	30	0.0207	0.0886	0.0262	0.1040	0.0693	0.3669
YKL015W	1.9533	11	0.1231	0.0447	0.1351	0.0524	0.0350	0.1027
YKL016C	8.3898	9	0.6461	0.0943	0.6976	0.1107	0.0738	0.0387
YKL017C		20		0.0767		0.0900	0.0600	0.1230
YKL018C-A				0.1000		0.1174	0.0782	0.0234
YKL018W		21		0.0651		0.0764	0.0509	0.0504
YKL019W		14		0.1105		0.1297	0.0864	0.0821
YKL020C		37		0.1535		0.1801	0.1200	0.3899
YKL021C		6		0.1113		0.1306	0.0870	0.1224
YKL022C	0.8966	51	0.0122	0.0744	0.0177	0.0873	0.0582	0.1468
YKL023C-A								
YKL023W	0.4483	12	0.0259	0.0908	0.0286	0.1065	0.0710	0.0591
YKL024C	9.1263	26	0.2433	0.1450	0.2993	0.1701	0.1134	0.0696
YKL025C	1.8573	22	0.0585	0.1168	0.0699	0.1371	0.0914	0.1863
YKL026C	1.1208			0.0599		0.0703	0.0469	0.0236
YKL027W	1.1208	18	0.0432	0.1989	0.0500	0.2333	0.1556	0.2089
YKL028W	3.2342	11	0.2038	0.1404	0.2236	0.1647	0.1098	0.1590
YKL029C		10		0.2387		0.2800	0.1866	0.3750
YKL030W		10						
YKL031W		24						
YKL032C	1.6331	12	0.0943	0.2510	0.1044	0.2945	0.1963	0.3520
YKL033W	0.4803	21	0.0159		0.0188			
YKL033W-A	6.7567							
YKL034W	0.8646			0.0531		0.0623	0.0415	0.0945
YKL035W	16.4273							
YKL036C		144						
YKL037W		49						
YKL038W	0.7045	51	0.0096	0.1101	0.0139	0.1292	0.0861	0.3024
YKL039W	2.5618	27	0.0658	0.1242	0.0815	0.1457	0.0971	0.1526
YKL040C	1.8253	18	0.0703	0.2037	0.0815	0.2389	0.1593	0.1226
YKL041W	1.4090	17	0.0574	0.2159	0.0661	0.2533	0.1689	0.1138
YKL042W	0.6404	33	0.0135	0.0955	0.0174	0.1121	0.0747	0.0815
YKL043W	2.3056	28	0.0571	0.1861	0.0712	0.2183	0.1456	0.1601
YKL044W	0.8326	31	0.0186		0.0237			
YKL045W	0.4163	12	0.0240	0.0970	0.0266	0.1138	0.0759	0.1203
YKL046C	5.2516	16	0.2275	0.1457	0.2597	0.1710	0.1140	0.1537
YKL047W	0.8646	13	0.0461	0.0476	0.0514	0.0558	0.0372	0.0577
YKL048C	0.4803			0.1139		0.1336	0.0891	0.1712
YKL049C	1.1848	15	0.0548		0.0620			
YKL050C	0.0640	70	0.0006		0.0010			
YKL051W	1.7612	23	0.0531	0.2101	0.0639	0.2464	0.1643	0.1743
YKL052C				0.2801		0.3286	0.2191	0.1923
YKL053C-A	7.8134							
YKL053W		18		0.2126		0.2494	0.1663	0.0622
YKL054C	2.0174	30	0.0466	0.4330	0.0590	0.5079	0.3386	0.7504
YKL055C	0.0640	43	0.0010	0.1366	0.0014	0.1603	0.1068	0.0893
YKL056C	90.2061	25	2.5010	0.7703	3.0544	0.9036	0.6024	0.3030
YKL057C	2.3056	16	0.0999		0.1140			
YKL058W	5.7960	37	0.1086	0.1183	0.1441	0.1387	0.0925	0.0340
YKL059C	2.1455	7	0.2124	0.1535	0.2256	0.1801	0.1200	0.1590
YKL060C	557.4078	50	7.7273	2.8405	11.1465	3.3323	2.2216	2.3971
YKL061W	1.1208							
YKL062W	0.8326	24	0.0240	0.0957	0.0292	0.1123	0.0749	0.1416
YKL063C	4.1629	11	0.2623	0.1502	0.2879	0.1762	0.1175	0.0591
YKL064W	1.6651	32	0.0361	0.0879	0.0463	0.1031	0.0687	0.2000
YKL065C	4.4511	28	0.1102	0.1081	0.1375	0.1268	0.0845	0.0524
YKL065W-A	0.0640							
YKL066W	0.5124	38	0.0093		0.0125			
YKL067W		18		0.1173		0.1376	0.0917	0.0423
YKL068W	0.8646			0.1095		0.1285	0.0857	0.2466
YKL068W-A	1.9854							
YKL069W	3.6825	17	0.1501	0.0791	0.1727	0.0928	0.0619	0.0335
YKL070W	0.1921	51	0.0026	0.0879	0.0038	0.1031	0.0688	0.0350
YKL071W	0.1921	24	0.0055	0.0537	0.0067	0.0630	0.0420	0.0323
YKL072W	0.6084			0.0516		0.0606	0.0404	0.0929
YKL073W	1.4090	13	0.0751	0.0331	0.0838	0.0388	0.0259	0.0685
YKL074C	0.6404			0.0841		0.0986	0.0658	0.1041
YKL075C		20		0.1214		0.1425	0.0950	0.1284
YKL076C	6.3724	52	0.0849		0.1240			
YKL077W	4.4511	17	0.1815	0.1551	0.2088	0.1820	0.1213	0.1429
YKL078W	0.4483			0.0668		0.0784	0.0523	0.1153
YKL079W	1.2809	9	0.0986	0.1123	0.1065	0.1318	0.0879	0.1731
YKL080W	19.5655	19	0.7138	0.1033	0.8338	0.1212	0.0808	0.0952
YKL081W	31.3496			0.6016		0.7058	0.4705	0.7359
YKL082C		7		0.4157		0.4876	0.3251	0.4239
YKL083W		25						
YKL084W				0.0854		0.1002	0.0668	0.0234
YKL085W	4.5792	25	0.1270	0.1233	0.1550	0.1446	0.0964	0.0968
YKL086W	0.3202	52	0.0043		0.0062			
YKL087C	1.1528	24	0.0333	0.1157	0.0404	0.1357	0.0905	0.0610
YKL088W	0.6725	14	0.0333	0.1345	0.0374	0.1578	0.1052	0.1804
YKL089W	1.3449			0.0752		0.0882	0.0588	0.0970
YKL090W	0.2882	20	0.0100	0.0563	0.0118	0.0661	0.0440	0.0586
YKL091C	1.8893	55	0.0238	0.0901	0.0354	0.1056	0.0704	0.0656
YKL092C	0.4483	27	0.0115	0.1045	0.0143	0.1227	0.0818	0.2710
YKL093W	0.1281	23	0.0039	0.1076	0.0046	0.1262	0.0841	0.0857
YKL094W	6.2443	27	0.1603	0.2154	0.1986	0.2527	0.1685	0.1585
YKL095W	0.2242	74	0.0021	0.0943	0.0035	0.1107	0.0738	0.0617
YKL096C-B	0.4483							
YKL096W	4.4511	57	0.0541	0.1649	0.0814	0.1934	0.1290	0.0927
YKL096W-A	68.0789							
YKL097C	0.0640	58	0.0008		0.0012			
YKL098W	1.3769			0.0693		0.0813	0.0542	0.0582
YKL099C	1.9854	17	0.0810	0.1275	0.0931	0.1496	0.0997	0.0750
YKL100C	3.3303	25	0.0923	0.2125	0.1128	0.2493	0.1662	0.2930
YKL100W-A								
YKL101W	1.2809	22	0.0404	0.1135	0.0482	0.1332	0.0888	0.4045
YKL102C	0.1281	95	0.0009		0.0017			
YKL103C	1.0247	187	0.0038	0.0611	0.0101	0.0716	0.0478	0.0737
YKL104C	1.9533	54	0.0251	0.1647	0.0371	0.1933	0.1288	0.2774
YKL105C	0.3202	30	0.0074	0.0710	0.0094	0.0833	0.0555	0.1887
YKL106C-A								
YKL106W	0.6084	22	0.0192	0.1285	0.0229	0.1508	0.1005	0.1362
YKL107W				0.0362		0.0424	0.0283	0.0263
YKL108W	0.1921	26	0.0051	0.0830	0.0063	0.0974	0.0650	0.0884
YKL109W	3.8106			0.3196		0.3749	0.2499	0.4159
YKL110C	5.2516	25	0.1456	0.1330	0.1778	0.1560	0.1040	0.0979
YKL111C		25						
YKL112W				0.0890		0.1044	0.0696	0.1528
YKL113C	0.8646			0.1519		0.1782	0.1188	0.1364
YKL114C		17		0.1236		0.1450	0.0967	0.1066
YKL115C		27		0.0187		0.0219	0.0146	0.0057
YKL116C	0.6404			0.1066		0.1251	0.0834	0.1297
YKL117W	14.9543	26	0.3987	0.2735	0.4904	0.3209	0.2139	0.1391
YKL118W	0.0640	32	0.0014	0.0439	0.0018	0.0515	0.0344	0.0107
YKL119C	2.0174	21	0.0666	0.1139	0.0790	0.1337	0.0891	0.0577
YKL120W	3.9387			0.2151		0.2523	0.1682	0.1638
YKL121W	1.0567	22	0.0333	0.0245	0.0398	0.0287	0.0191	0.0490
YKL122C				0.1657		0.1943	0.1296	0.0652
YKL123W		22		0.0735		0.0863	0.0575	0.0219
YKL124W		30						
YKL125W	0.7365	11	0.0464	0.1866	0.0509	0.2189	0.1459	0.2747
YKL126W	3.7786	16	0.1637	0.0909	0.1869	0.1066	0.0711	0.1452
YKL127W	2.9460	23	0.0888		0.1069			
YKL128C	1.0247	18	0.0395	0.1531	0.0457	0.1797	0.1198	0.1062
YKL129C	1.6651	17	0.0679		0.0781			
YKL130C	1.5691	28	0.0388	0.2835	0.0485	0.3326	0.2217	0.1641
YKL131W	0.0961	30	0.0022		0.0028			
YKL132C	1.1208			0.0355		0.0417	0.0278	0.0359
YKL133C	0.7045	66	0.0074	0.0339	0.0117	0.0397	0.0265	0.0369
YKL134C	0.3843	13	0.0205	0.0696	0.0228	0.0816	0.0544	0.1258
YKL135C		17		0.1088		0.1276	0.0851	0.1855
YKL136W								
YKL137W	4.7713	15	0.2205		0.2497			
YKL138C	1.6331			0.1349		0.1582	0.1055	0.0417
YKL138C-A	3.6825							
YKL139W	1.8893	31	0.0422	0.0957	0.0538	0.1123	0.0749	0.1187
YKL140W	2.5618			0.0489		0.0574	0.0382	0.0629
YKL141W	4.0988	23	0.1235	0.1929	0.1487	0.2263	0.1508	0.0899
YKL142W	7.0769	62	0.0791	0.3982	0.1225	0.4671	0.3114	0.2052
YKL143W	2.2095	10	0.1532	0.2083	0.1667	0.2444	0.1629	0.2266
YKL144C	3.2662	12	0.1887		0.2087			
YKL145W	13.0330	11	0.8213	0.3885	0.9012	0.4557	0.3038	0.4262
YKL145W-A								
YKL146W	1.4090	20	0.0488	0.0889	0.0575	0.1043	0.0695	0.1445
YKL147C	0.0640	19	0.0023	0.1071	0.0027	0.1257	0.0838	0.0517
YKL148C	1.6011	46	0.0241		0.0339			
YKL149C	1.7932			0.1018		0.1194	0.0796	0.0969
YKL150W	5.8280	88	0.0459	0.0787	0.0817	0.0923	0.0616	0.0559
YKL151C	2.4657			0.2573		0.3018	0.2012	0.2038
YKL152C		67		1.7989		2.1104	1.4069	1.0453
YKL153W		48						
YKL154W	0.6404			0.0728		0.0854	0.0569	0.0418
YKL155C	1.3449	13	0.0717	0.1204	0.0800	0.1413	0.0942	0.1776
YKL156C-A								
YKL156W	42.4933	7	4.2077	0.5509	4.4684	0.6463	0.4309	0.2577
YKL157W	10.1830	38	0.1857	0.0378	0.2482	0.0444	0.0296	0.0944
YKL159C	0.5764	21	0.0190	0.0838	0.0226	0.0984	0.0656	0.0416
YKL160W	2.9140	19	0.1063	0.2300	0.1242	0.2698	0.1799	0.0786
YKL161C	0.9927	15	0.0459		0.0520			
YKL162C	0.2562	96	0.0018	0.0151	0.0034	0.0177	0.0118	0.0142
YKL162C-A	0.0640							
YKL163W	1.5371	24	0.0444		0.0538			
YKL164C	17.5801	11	1.1078	0.7010	1.2156	0.8224	0.5482	0.5619
YKL165C	1.1528							
YKL165C-A								
YKL166C	0.5764			0.1206		0.1415	0.0943	0.1128
YKL167C	1.1848	7	0.1173		0.1246			
YKL168C	1.4090	17	0.0574	0.0689	0.0661	0.0809	0.0539	0.1172
YKL169C		12		0.1058		0.1241	0.0828	0.0317
YKL170W				0.2043		0.2396	0.1598	0.0665
YKL171W	0.4163	15	0.0192	0.0654	0.0218	0.0767	0.0511	0.1424
YKL172W	3.4264	14	0.1696	0.3549	0.1907	0.4163	0.2775	0.3561
