Sistematic name	RA (mol/cell) [Nagalakshmi et al. 2008; Miura et al. 2008]	RS (min) [Wang et al. 2002]	TR indirect (mol/min) w/o dilution correction	TR (mol/min) w/o dilution correction	TR indirect (mol/min) dilution corrected	TR (mol/min) dilution corrected	RNA pol II density (per kb)	RNA pol II  presence (per gene)
YBL042C	1.4090	4	0.2442	0.2755	0.2528	0.3232	0.2155	0.4135
YBL043W	0.2562	33	0.0054		0.0070			
YBL044W	0.2242	15	0.0104		0.0117			
YBL045C	4.4511	31	0.0995	0.0457	0.1268	0.0536	0.0357	0.0490
YBL046W	1.2809	12	0.0740	0.0962	0.0818	0.1128	0.0752	0.0997
YBL047C	4.2910	37	0.0804	0.2074	0.1067	0.2433	0.1622	0.6723
YBL048W	0.1921	32	0.0042		0.0053			
YBL049W				0.0762		0.0894	0.0596	0.0248
YBL050W	4.8033	22	0.1513		0.1808			
YBL051C	3.4904	21	0.1152	0.1204	0.1366	0.1412	0.0942	0.1889
YBL052C		11		0.0899		0.1055	0.0703	0.1754
YBL053W				0.1366		0.1603	0.1069	0.0400
YBL054W	0.4803	16	0.0208		0.0238			
YBL055C	2.5297	34	0.0516	0.1576	0.0671	0.1849	0.1233	0.1548
YBL056W	7.6533	15	0.3537	0.1846	0.4006	0.2166	0.1444	0.2030
YBL057C		24		0.1551		0.1819	0.1213	0.0781
YBL058W		15		0.3310		0.3883	0.2589	0.3290
YBL059C-A	2.5297							
YBL059W	1.7292	23	0.0521	0.0981	0.0627	0.1151	0.0768	0.0499
YBL060W	1.8253	28	0.0452	0.0706	0.0564	0.0829	0.0553	0.1140
YBL061C		29		0.0779		0.0914	0.0609	0.1273
YBL062W		32		0.1063		0.1247	0.0831	0.0316
YBL063W				0.0571		0.0670	0.0447	0.1490
YBL064C				0.0303		0.0356	0.0237	0.0186
YBL065W								
YBL066C	0.0640			0.0484		0.0568	0.0378	0.1304
YBL067C	1.0567	10	0.0732	0.0900	0.0797	0.1056	0.0704	0.1579
YBL068W	2.2415			0.0481		0.0564	0.0376	0.0369
YBL068W-A								
YBL069W		11		0.1496		0.1755	0.1170	0.1509
YBL070C		79						
YBL071C		29						
YBL071C-B								
YBL071W-A				0.1010		0.1185	0.0790	0.0196
YBL072C		22		0.3853		0.4520	0.3013	0.1814
YBL073W	0.0640			0.0632		0.0741	0.0494	0.0154
YBL074C	0.0640	20	0.0022	0.0656	0.0026	0.0770	0.0513	0.0548
YBL075C	0.7045			0.0855		0.1004	0.0669	0.1304
YBL076C		33		0.0657		0.0770	0.0514	0.1653
YBL077W		65		0.2248		0.2637	0.1758	0.0758
YBL078C	2.1775	104	0.0145	0.0875	0.0279	0.1027	0.0684	0.0242
YBL079W	0.4163	27	0.0107	0.0958	0.0132	0.1124	0.0749	0.3378
YBL080C				0.0499		0.0585	0.0390	0.0634
YBL081W		6						
YBL082C		16		0.0531		0.0623	0.0416	0.0572
YBL083C		19		0.0350		0.0410	0.0274	0.0116
YBL084C	0.6725	27	0.0173		0.0214			
YBL085W	1.2489							
YBL086C	1.3129	15	0.0607	0.0686	0.0687	0.0805	0.0537	0.0751
YBL087C	35.8327	27	0.9199	0.5309	1.1397	0.6228	0.4152	0.3807
YBL088C		40		0.0517		0.0607	0.0405	0.3384
YBL089W		26						
YBL090W	2.0494	24	0.0592	0.1297	0.0718	0.1521	0.1014	0.0541
YBL091C	12.6807	26	0.3381	0.0570	0.4158	0.0669	0.0446	0.0564
YBL091C-A	2.6899			0.5083		0.5963	0.3975	0.2445
YBL092W	68.0789			0.4254		0.4991	0.3327	0.1304
YBL093C	3.2983	12	0.1905	0.2515	0.2107	0.2951	0.1967	0.1302
YBL094C		27						
YBL095W		26		0.1426		0.1673	0.1115	0.0906
YBL096C				0.2385		0.2797	0.1865	0.0574
YBL097W		24						
YBL098W	0.5124							
YBL099W	20.4621	34	0.4172	0.1831	0.5427	0.2148	0.1432	0.2344
YBL100C		31		0.1212		0.1422	0.0948	0.0298
YBL100W-C	0.1281							
YBL101C	1.3129	21	0.0433	0.0708	0.0514	0.0831	0.0554	0.1857
YBL102W	3.1702	13	0.1690	0.0569	0.1885	0.0668	0.0445	0.0288
YBL103C	1.0887	12	0.0629	0.0796	0.0696	0.0933	0.0622	0.0908
YBL104C	0.5764			0.0368		0.0431	0.0287	0.0896
YBL105C	1.1208	14	0.0555	0.0920	0.0624	0.1079	0.0719	0.2485
YBL106C	0.4163	17	0.0170	0.0344	0.0195	0.0403	0.0269	0.0815
YBL107C	3.3943	10	0.2353	0.0929	0.2561	0.1090	0.0727	0.0429
YBL107W-A								
YBL108C-A								
YBL108W	0.0640							
YBL109W								
YBL111C								
YBL112C		7						
YBL113C		5						
YBL113W-A								
YBR001C	0.8326	49	0.0118	0.0754	0.0169	0.0884	0.0589	0.1380
YBR002C	1.1848	9	0.0913	0.1651	0.0985	0.1937	0.1291	0.1110
YBR003W	3.3623	12	0.1942	0.0547	0.2148	0.0641	0.0427	0.0607
YBR004C	1.6331	10	0.1132		0.1232			
YBR005W	1.5371							
YBR006W	3.4904	35	0.0691	0.0619	0.0905	0.0726	0.0484	0.0723
YBR007C	1.2809			0.0824		0.0967	0.0645	0.1425
YBR008C	0.6404	17	0.0261		0.0300			
YBR009C		6		1.3835		1.6231	1.0820	0.3365
YBR010W	40.4118	6	4.6686	1.5837	4.9164	1.8579	1.2386	0.5078
YBR011C	18.8930	49	0.2673	0.1845	0.3831	0.2164	0.1443	0.1245
YBR012C	1.6011							
YBR013C								
YBR014C	4.5471	20	0.1576	0.0436	0.1855	0.0512	0.0341	0.0209
YBR015C	3.1061	12	0.1794	0.1395	0.1985	0.1636	0.1091	0.1956
YBR016W	9.4465	18	0.3638	0.2657	0.4217	0.3117	0.2078	0.0802
YBR017C	1.9213	38	0.0350		0.0468			
YBR018C	0.0640	26	0.0017		0.0021			
YBR019C	0.1921	18	0.0074	0.0369	0.0086	0.0432	0.0288	0.0605
YBR020W	0.0640	31	0.0014	0.0525	0.0018	0.0615	0.0410	0.0651
YBR021W	0.1281	21	0.0042	0.0463	0.0050	0.0543	0.0362	0.0688
YBR022W	1.4730	19	0.0537	0.0727	0.0628	0.0853	0.0568	0.0303
YBR023C	0.3843	22	0.0121		0.0145			
YBR024W	2.2736	40	0.0394	0.0694	0.0533	0.0814	0.0543	0.0491
YBR025C	25.2654			0.1649		0.1934	0.1290	0.1527
YBR026C	2.7539	79	0.0242	0.0426	0.0411	0.0500	0.0334	0.0381
YBR027C		35						
YBR028C		9		0.0934		0.1095	0.0730	0.1152
YBR029C	2.0494	23	0.0618	0.0285	0.0743	0.0334	0.0223	0.0306
YBR030W	1.0247	29	0.0245	0.1099	0.0308	0.1290	0.0860	0.1426
YBR031W	88.1247	7	8.7262		9.2668			
YBR032W	0.3522	24	0.0102	0.2552	0.0123	0.2994	0.1996	0.0603
YBR033W	0.1281	31	0.0029	0.0424	0.0036	0.0497	0.0331	0.0915
YBR034C	5.5078	6	0.6363	0.1750	0.6701	0.2053	0.1369	0.1432
YBR035C	2.4337	29	0.0582	0.1550	0.0731	0.1818	0.1212	0.0832
YBR036C	6.7567	14	0.3345	0.1126	0.3760	0.1321	0.0881	0.1085
YBR037C	0.6084			0.0873		0.1024	0.0683	0.0605
YBR038W	1.0247			0.0342		0.0401	0.0268	0.0773
YBR039W	4.7393	19	0.1729	0.1156	0.2020	0.1356	0.0904	0.0845
YBR040W	0.1921	71	0.0019		0.0031			
YBR041W	0.8966			0.1128		0.1324	0.0883	0.1773
YBR042C	2.0174	11	0.1271		0.1395			
YBR043C	0.8966	11	0.0565	0.1589	0.0620	0.1864	0.1243	0.2572
YBR044C	0.7685	17	0.0313	0.1050	0.0360	0.1232	0.0821	0.1413
YBR045C	0.1281							
YBR046C	2.4337	19	0.0888	0.0543	0.1037	0.0637	0.0425	0.0426
YBR047W	1.2489							
YBR048W	10.3431	32	0.2240	0.3432	0.2875	0.4026	0.2684	0.2633
YBR049C	1.2809	8	0.1110	0.1364	0.1188	0.1600	0.1067	0.2595
YBR050C	0.1921	56	0.0024	0.0573	0.0036	0.0672	0.0448	0.0455
YBR051W	0.0640							
YBR052C	10.3431	33	0.2173	0.1714	0.2807	0.2011	0.1340	0.0847
YBR053C	4.3550	66	0.0457	0.0333	0.0725	0.0390	0.0260	0.0280
YBR054W	9.1903	100	0.0637	0.0665	0.1201	0.0780	0.0520	0.0538
YBR055C	2.2736	9	0.1751		0.1890			
YBR056C-B								
YBR056W	3.9707	43	0.0640		0.0884			
YBR056W-A								
YBR057C	0.6725	11	0.0424	0.1090	0.0465	0.1278	0.0852	0.0937
YBR058C	2.4977	22	0.0787	0.0985	0.0940	0.1156	0.0771	0.1807
YBR058C-A	11.7521							
YBR059C	1.4090	29	0.0337	0.0485	0.0423	0.0569	0.0380	0.1262
YBR060C	1.3449			0.1117		0.1311	0.0874	0.1627
YBR061C	1.1848	10	0.0821	0.1052	0.0894	0.1234	0.0823	0.0767
YBR062C	2.5297	29	0.0605	0.1751	0.0760	0.2054	0.1369	0.0855
YBR063C	1.2168	34	0.0248	0.0420	0.0323	0.0493	0.0329	0.0399
YBR064W		34						
YBR065C	0.1921	21	0.0063	0.0436	0.0075	0.0511	0.0341	0.0373
YBR066C	1.0567	173	0.0042		0.0107			
YBR067C	17.7402			0.2765		0.3244	0.2163	0.1367
YBR068C	6.7246	13	0.3586	0.7306	0.3998	0.8571	0.5714	1.0451
YBR069C	0.8646	20	0.0300		0.0353			
YBR070C	1.6651	21	0.0550	0.0554	0.0652	0.0650	0.0433	0.0309
YBR071W	1.2489	26	0.0333	0.2166	0.0410	0.2542	0.1694	0.1076
YBR072C-A	0.3202							
YBR072W	12.1684			0.0263		0.0309	0.0206	0.0133
YBR073W	1.1528	10	0.0799	0.0639	0.0870	0.0750	0.0500	0.1386
YBR074W	2.0174	14	0.0999	0.0693	0.1123	0.0813	0.0542	0.1588
YBR076C-A								
YBR076W		50						
YBR077C	1.5050	10	0.1043		0.1136			
YBR078W	6.7246	46	0.1013	0.8481	0.1426	0.9949	0.6633	1.1514
YBR079C	2.5938	24	0.0749	0.1188	0.0908	0.1394	0.0929	0.2689
YBR080C	1.7932	13	0.0956		0.1066			
YBR081C	1.4090			0.0941		0.1104	0.0736	0.2942
